Name,Country,City,Address,Rating,Reviews,Site,Link
Basic-Fit Málaga Avenida de Isaac Peral,Spain,Málaga,"Av. de Isaac Peral, 61",3.9,42,https://www.google.com/aclk?sa=L&ai=DChcSEwis4sKCqcn9AhWXEwYAHWBDC38YABAHGgJ3cw&sig=AOD64_26fYWe83Nlu6t94IXIOD9uJZU_Wg&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+M%C3%A1laga+Avenida+de+Isaac+Peral/data=!4m7!3m6!1s0xd72f9c9e1c832cd:0x810e6369a22f567e!8m2!3d36.6902179!4d-4.4607391!16s%2Fg%2F11trmnf8j_!19sChIJzTLI4cn5cg0RflYvomljDoE?authuser=0&hl=en&rclk=1
Basic-Fit Málaga Armengual de la Mota,Spain,Málaga,"C. Armengual de la Mota, 26",4.1,385,https://www.basic-fit.com/es-es/gimnasio/basic-fit-malaga-armengual-de-la-mota-a435aa51b62e43ea8fb5d8bb5d643a78.html,https://www.google.com/maps/place/Basic-Fit+M%C3%A1laga+Armengual+de+la+Mota/data=!4m7!3m6!1s0xd72f74ef0a520f5:0xd712933685df15b4!8m2!3d36.7204439!4d-4.429039!16s%2Fg%2F11m7qdzglr!19sChIJ9SCl8E73cg0RtBXfhTaTEtc?authuser=0&hl=en&rclk=1
Basic-Fit Málaga Calle Félix García Palacios,Spain,Málaga,"C. Félix García Palacios, 1",4.2,52,https://www.basic-fit.com/es-es/gimnasio/basic-fit-m%C3%A1laga-calle-f%C3%A9lix-garc%C3%ADa-palacios-18eab10cbcc84775a1d3faa95223a56a.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+M%C3%A1laga+Calle+F%C3%A9lix+Garc%C3%ADa+Palacios/data=!4m7!3m6!1s0xd72f7439d8e2305:0xb80cecdde1a91d77!8m2!3d36.7050092!4d-4.4540065!16s%2Fg%2F11thjclq2k!19sChIJBSOOnUP3cg0Rdx2p4d3sDLg?authuser=0&hl=en&rclk=1
Basic-Fit Teatinos,Spain,Málaga,"Blvr. Louis Pasteur, 20",3.9,37,https://www.basic-fit.com/es-es/gimnasio/basic-fit-m%C3%A1laga-bulevar-louis-pasteur-ede4d9d858804c2baaac9c08e4dc269e.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Teatinos/data=!4m7!3m6!1s0xd72f7be19fd730b:0x9f029e0164c8320b!8m2!3d36.7183942!4d-4.4650644!16s%2Fg%2F11tjw7f121!19sChIJC3P9Gb73cg0RCzLIZAGeAp8?authuser=0&hl=en&rclk=1
Basic-Fit Torremolinos Av. Palma de Mallorca,Spain,Málaga,"Av. Palma de Mallorca, 20",4.2,589,https://www.basic-fit.com/es-es/gimnasio/basic-fit-malaga-torremolinos-2b8a8097e11b48ba988dad06db5efc8c.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Torremolinos+Av.+Palma+de+Mallorca/data=!4m7!3m6!1s0xd72fbed50e3983d:0xbc4a7cff134b8373!8m2!3d36.6233174!4d-4.500436!16s%2Fg%2F11c6r37d3z!19sChIJPZjjUO37cg0Rc4NLE_98Srw?authuser=0&hl=en&rclk=1
Basic-Fit Cartagena Avenida Colón,Spain,Murcia,"Av. Colón, 38",4.7,148,https://www.basic-fit.com/es-es/gimnasio/basic-fit-cartagena-avenida-col%C3%B3n-d49500548dd44bd3aa9c3230eb7ccd79.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Cartagena+Avenida+Col%C3%B3n/data=!4m7!3m6!1s0xd6343ea75c1bab3:0xf9f762b89fd8bd0c!8m2!3d37.6159569!4d-0.995378!16s%2Fg%2F11jypftxnf!19sChIJs7rBdepDYw0RDL3Yn7hi9_k?authuser=0&hl=en&rclk=1
Basic-Fit Alcalá de Guadaira Avenida Principe de Asturias,Spain,Murcia,"Av. Príncipe de Asturias, 1",3.9,22,https://www.basic-fit.com/es-es/gimnasio/basic-fit-alcal%C3%A1-de-guadaira-avenida-principe-de-asturias-2d9376a4019f4c80ae1cf8880fb2be05.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Alcal%C3%A1+de+Guadaira+Avenida+Principe+de+Asturias/data=!4m7!3m6!1s0xd1265734e153feb:0xeaba43b6438c8593!8m2!3d37.3543952!4d-5.8587136!16s%2Fg%2F11scp907bk!19sChIJ6z8VTnNlEg0Rk4WMQ7ZDuuo?authuser=0&hl=en&rclk=1
Basic-Fit Bilbao,Spain,Bilbao,"Rodríguez Arias K., 58",4.9,221,https://www.google.com/aclk?sa=l&ai=DChcSEwikwcmKqcn9AhWHj2gJHRRZCBMYABAAGgJ3Zg&sig=AOD64_1NklzDewnwRAugXSJcpfiXEZ1Qzw&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Bilbao/data=!4m7!3m6!1s0xd4e51e57e65603f:0x76236eabd8f5a369!8m2!3d43.2636643!4d-2.942914!16s%2Fg%2F11r_krf4y7!19sChIJP2BlfuVRTg0RaaP12KtuI3Y?authuser=0&hl=en&rclk=1
Basic-Fit Bilbao Calle Iturriaga,Spain,Bilbao,"Iturriaga K., 78",4.8,216,https://www.basic-fit.com/es-es/gimnasio/basic-fit-bilbao-iturriaga-694d3330b70a42bbb6d023d8875c9a24.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Bilbao+Calle+Iturriaga/data=!4m7!3m6!1s0xd4e4fce64123d69:0xefb9ef2dea6d8b6d!8m2!3d43.2526215!4d-2.9103942!16s%2Fg%2F11rtc81zbj!19sChIJaT0SZM5PTg0RbYtt6i3vue8?authuser=0&hl=en&rclk=1
Basic-Fit Bilbao Plaza Zabálburu,Spain,Bilbao,"Plaza de Zabálburu, Nicolás Alcorta Kalea, 1",4.2,322,https://www.basic-fit.com/es-es/gimnasio/basic-fit-bilbao-zabalburu-113d1fc829224e7b80f5786652c34e33.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Bilbao+Plaza+Zab%C3%A1lburu/data=!4m7!3m6!1s0xd4e50671555553b:0x5633982cecbfa8f1!8m2!3d43.2562685!4d-2.9336433!16s%2Fg%2F11c61m1z9n!19sChIJO1VVFWdQTg0R8ai_7CyYM1Y?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Bilbao,"Mercado Municipal, C. Elcano Kalea, 1",4.2,464,https://www.basic-fit.com/es-es/gimnasio/basic-fit-bilbao-barakaldo-mercado-municipal-barakaldo-0173b7422f7440eca1de39a9f94eb6b0.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd4e5a7a6d88ac9d:0xfa87c3237afb52a5!8m2!3d43.2969358!4d-2.9871777!16s%2Fg%2F11b75ht00w!19sChIJnayIbXpaTg0RpVL7eiPDh_o?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Alicante,"C/ Alonso Cano, 66",4.6,41,https://www.basic-fit.com/,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd623702ede34d4b:0xfa8e711f46118e99!8m2!3d38.3677446!4d-0.4804319!16s%2Fg%2F11ts47lpsr!19sChIJS03j7QI3Yg0RmY4RRh9xjvo?authuser=0&hl=en&rclk=1
Basic-Fit Alicante Calle Alcalali,Spain,Alicante,C. Alcaláli,4.9,69,https://www.basic-fit.com/es-es/gimnasio/basic-fit-alicante-calle-alcalali-509e15a3a6d94057b3e42ea4f6742806.html,https://www.google.com/maps/place/Basic-Fit+Alicante+Calle+Alcalali/data=!4m7!3m6!1s0xd623767718d982f:0x1f551625a5f2d888!8m2!3d38.3750117!4d-0.5068324!16s%2Fg%2F11tnzxkhrd!19sChIJL5iNcWc3Yg0RiNjypSUWVR8?authuser=0&hl=en&rclk=1
Basic-Fit Elche Avinguda d'Alacant 132,Spain,Alicante,"Av. d'Alacant, 132",4.7,98,https://www.basic-fit.com/es-es/gimnasio/basic-fit-elche-avinguda-d'alacant-132-9ca06176ece24bb080606b5d0393a3e9.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Elche+Avinguda+d%27Alacant+132/data=!4m7!3m6!1s0xd63b5c710928389:0x39fd0b95c99b4344!8m2!3d38.271758!4d-0.6722684!16s%2Fg%2F11k3j6v2gf!19sChIJiYOSEMe1Yw0RREObyZUL_Tk?authuser=0&hl=en&rclk=1
Basic-Fit Valladolid Calle de Labradores,Spain,Valladolid,"C. de Labradores, 36",4.9,106,https://www.basic-fit.com/es-es/gimnasio/basic-fit-valladolid-calle-de-labradores-8b9de7d2a23548b3b570a27f16ccccf0.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Valladolid+Calle+de+Labradores/data=!4m7!3m6!1s0xd4713e100777df9:0x856b286f533fd967!8m2!3d41.6452164!4d-4.7209424!16s%2Fg%2F11tnd7dc_v!19sChIJ-X13AOETRw0RZ9k_U28oa4U?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Valladolid,"CC Los Fresnos, C. Río de Oro, 3",4.3,348,https://www.basic-fit.com/es-es/gimnasio/basic-fit-gijon-parque-comercial-los-fresnos-81ff2d0a325342ccb44cccec8ec92ee4.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd367c8faaaaaaab:0xe9670c807ccb7061!8m2!3d43.5331426!4d-5.6618381!16s%2Fg%2F12vqnnbfs!19sChIJq6qqqo98Ng0RYXDLfIAMZ-k?authuser=0&hl=en&rclk=1
Basic-Fit Leganés Eduardo Torroja,Spain,Valladolid,"C. de Eduardo Torroja, 1",3.3,59,https://www.basic-fit.com/es-es/gimnasio/basic-fit-legan%C3%A9s-eduardo-torroja-2ea283f6a9fc4eb7a2749742847ded04.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Legan%C3%A9s+Eduardo+Torroja/data=!4m7!3m6!1s0xd418b7a735ca167:0xbf49aee4b96fdc6e!8m2!3d40.3189327!4d-3.7447048!16s%2Fg%2F11jz4g2vnw!19sChIJZ6Fcc3qLQQ0RbtxvueSuSb8?authuser=0&hl=en&rclk=1
Basic-Fit Narón Estrada Castelao,Spain,Vigo,"Estrada Castelao, 82",4.9,77,https://www.basic-fit.com/es-es/gimnasio/basic-fit-nar%C3%B3n-estrada-castelao-258cd03073994e57aadabbfe26111318.html,https://www.google.com/maps/place/Basic-Fit+Nar%C3%B3n+Estrada+Castelao/data=!4m7!3m6!1s0xd2e7596e4cc432b:0xfa8451d6600f43f7!8m2!3d43.4893959!4d-8.2038703!16s%2Fg%2F11sdn1m0wn!19sChIJK0PM5JZ1Lg0R90MPYNZRhPo?authuser=0&hl=en&rclk=1
